region,country_code,year,life_expectancy,gdp_per_capita,population
asia,afg,2015,61.91,2108.71,33753499
asia,afg,2016,62.03,2101.42,34636207
asia,afg,2017,62.9,2096.09,35643418
asia,afg,2018,62.73,2060.7,36686784
asia,afg,2019,63.33,2079.92,37769499
asia,afg,2020,63.39,1968.34,38972230
asia,afg,2021,63.98,1517.02,40099462
asia,afg,2022,64.3,1426,41128771
asia,afg,2023,64.6,1397.48,42239854
europe,alb,1800,35.4,584.88,400000
europe,alb,1801,35.4,586.56,401773
europe,alb,1802,35.4,588.24,403554
europe,alb,1803,35.4,589.93,405343
europe,alb,1804,35.4,591.62,407140
europe,alb,1805,35.4,593.32,408945
europe,alb,1806,35.4,595.02,410758
europe,alb,1807,35.4,596.73,412579
europe,alb,1808,35.4,598.44,414408
europe,alb,1809,35.4,600.16,416246
europe,alb,1810,35.4,601.88,418099
europe,alb,1811,35.4,603.6,419953
europe,alb,1812,35.4,605.33,421814
europe,alb,1813,35.4,607.07,423684
europe,alb,1814,35.4,608.81,425563
europe,alb,1815,35.4,610.56,427449
europe,alb,1816,35.4,612.31,429344
europe,alb,1817,35.4,614.06,431248
europe,alb,1818,35.4,615.82,433159
europe,alb,1819,35.4,617.59,435086
europe,alb,1820,35.4,619.36,437026
europe,alb,1821,35.4,621.14,438981
europe,alb,1822,35.4,622.92,440950
europe,alb,1823,35.4,624.71,442934
europe,alb,1824,35.4,626.5,444927
europe,alb,1825,35.4,628.29,446929
europe,alb,1826,35.4,630.1,448940
europe,alb,1827,35.4,631.9,450959
europe,alb,1828,35.4,633.72,452988
europe,alb,1829,35.4,635.53,455027
europe,alb,1830,35.4,637.36,457074
europe,alb,1831,35.4,639.18,459130
europe,alb,1832,35.4,641.02,461196
europe,alb,1833,35.4,642.85,463271
europe,alb,1834,35.4,644.7,465356
europe,alb,1835,35.4,646.55,467449
europe,alb,1836,35.4,648.4,469552
europe,alb,1837,35.4,650.26,471665
europe,alb,1838,35.4,652.13,473787
europe,alb,1839,35.4,654,475919
europe,alb,1840,35.4,655.87,478060
europe,alb,1841,35.4,657.75,480211
europe,alb,1842,35.4,659.64,482372
europe,alb,1843,35.4,661.53,484542
europe,alb,1844,35.4,663.43,486722
europe,alb,1845,35.4,665.33,488912
europe,alb,1846,35.4,667.24,491112
europe,alb,1847,35.4,669.15,493321
europe,alb,1848,35.4,671.07,495541
europe,alb,1849,35.4,673,498261
europe,alb,1850,35.4,674.93,501490
europe,alb,1851,35.4,676.86,505313
europe,alb,1852,35.4,678.8,509659
europe,alb,1853,35.4,680.75,514536
europe,alb,1854,35.4,682.7,519460
europe,alb,1855,35.4,684.66,524430
europe,alb,1856,35.4,686.62,529449
europe,alb,1857,35.4,688.59,534515
europe,alb,1858,35.4,690.57,539629
europe,alb,1859,35.4,692.55,544793
europe,alb,1860,35.4,694.53,550006
europe,alb,1861,35.4,696.52,555269
europe,alb,1862,35.4,698.52,560582
europe,alb,1863,35.4,700.53,565946
europe,alb,1864,35.4,702.53,571361
europe,alb,1865,35.4,704.55,576828
europe,alb,1866,35.4,706.57,582348
europe,alb,1867,35.4,708.6,587920
europe,alb,1868,35.4,710.63,593546
europe,alb,1869,35.4,712.67,599215
europe,alb,1870,35.4,714.71,604928
europe,alb,1871,35.38,716.76,610685
europe,alb,1872,35.37,718.82,616487
europe,alb,1873,35.35,720.88,622333
europe,alb,1874,35.34,722.94,628235
europe,alb,1875,35.32,725.02,634193
europe,alb,1876,35.3,727.1,640208
europe,alb,1877,35.29,729.18,646279
europe,alb,1878,35.27,731.27,652408
europe,alb,1879,35.25,733.37,658596
europe,alb,1880,35.24,735.47,664842
europe,alb,1881,35.22,737.58,671147
europe,alb,1882,35.21,739.7,677511
europe,alb,1883,35.19,741.82,683937
europe,alb,1884,35.17,743.95,690423
europe,alb,1885,35.16,746.08,696970
europe,alb,1886,35.14,748.22,703580
europe,alb,1887,35.12,750.37,710252
europe,alb,1888,35.11,752.52,716988
europe,alb,1889,35.09,754.68,723850
europe,alb,1890,35.08,756.84,730840
europe,alb,1891,35.06,759.01,737961
europe,alb,1892,35.04,761.19,745214
europe,alb,1893,35.03,763.37,752600
europe,alb,1894,35.01,765.56,760060
europe,alb,1895,35,767.76,767593
europe,alb,1896,34.98,769.96,775202
europe,alb,1897,34.96,772.17,782885
europe,alb,1898,34.95,774.38,790645
europe,alb,1899,34.93,776.6,798342
europe,alb,1900,34.91,778.83,805974
europe,alb,1901,34.9,781.06,813539
europe,alb,1902,34.88,783.3,821036
europe,alb,1903,34.87,785.55,828461
europe,alb,1904,34.85,787.8,835954
europe,alb,1905,34.83,790.06,843514
europe,alb,1906,34.82,792.33,851143
europe,alb,1907,34.8,794.6,858841
europe,alb,1908,34.78,796.88,866609
europe,alb,1909,34.77,799.16,874016
europe,alb,1910,34.75,801.45,881057
europe,alb,1911,34.74,803.75,887724
europe,alb,1912,34.72,806.06,894013
europe,alb,1913,34.7,808.37,899917
europe,alb,1914,34.69,832.42,905859
europe,alb,1915,34.67,857.2,911841
europe,alb,1916,34.66,882.71,917862
europe,alb,1917,34.64,908.97,923923
europe,alb,1918,19,936.02,929879
europe,alb,1919,34.61,963.88,935646
europe,alb,1920,34.59,992.56,941221
europe,alb,1921,34.57,1022.1,946603
europe,alb,1922,34.56,1052.51,951788
europe,alb,1923,34.54,1083.84,956775
europe,alb,1924,34.53,1116.09,961788
europe,alb,1925,34.51,1149.3,966828
europe,alb,1926,34.49,1183.5,971893
europe,alb,1927,34.48,1218.72,976986
europe,alb,1928,34.46,1254.99,982104
europe,alb,1929,34.45,1292.34,988255
europe,alb,1930,35.3,1330.8,995454
europe,alb,1931,36.15,1370.4,1003716
europe,alb,1932,37,1411.18,1013057
europe,alb,1933,37.86,1453.17,1023495
europe,alb,1934,38.71,1496.42,1034040
europe,alb,1935,39.56,1540.95,1044694
europe,alb,1936,40.41,1586.81,1055458
europe,alb,1937,41.25,1634.03,1066333
europe,alb,1938,42.1,1682.65,1077319
europe,alb,1939,41.64,1732.73,1088816
europe,alb,1940,40.66,1784.29,1100833
europe,alb,1941,40.15,1836.84,1113381
europe,alb,1942,38.68,1890.94,1126469
europe,alb,1943,35.77,1946.63,1140109
europe,alb,1944,32.85,2003.96,1153914
europe,alb,1945,45.39,2062.98,1167887
europe,alb,1946,48.26,2123.73,1182028
europe,alb,1947,49.69,2186.28,1196341
europe,alb,1948,50.53,2250.67,1210827
europe,alb,1949,51.37,2316.95,1229519
europe,alb,1950,52.21,2385.19,1252582
europe,alb,1951,53.58,2368.84,1289168
europe,alb,1952,54.48,2369.55,1326948
europe,alb,1953,55.35,2466.9,1366744
europe,alb,1954,56.15,2535.77,1409005
europe,alb,1955,56.27,2672.77,1453730
europe,alb,1956,58.04,2700.37,1500624
europe,alb,1957,59.26,2871.3,1549571
europe,alb,1958,60.96,2999.56,1600983
europe,alb,1959,61.74,3122.08,1655020
europe,alb,1960,62.55,3279.97,1711189
europe,alb,1961,63.28,3305.92,1769079
europe,alb,1962,63.32,3414.06,1828232
europe,alb,1963,63.78,3529.22,1888302
europe,alb,1964,64.37,3648.56,1949013
europe,alb,1965,64.79,3780.57,2009789
europe,alb,1966,65.55,3920.99,2070689
europe,alb,1967,66.07,4069.82,2132443
europe,alb,1968,66.55,4214.32,2195466
europe,alb,1969,67.1,4355.9,2259799
europe,alb,1970,67.79,4515.78,2324731
europe,alb,1971,68.34,4646.28,2389812
europe,alb,1972,68.84,4775.32,2455171
europe,alb,1973,69.31,4933.2,2520436
europe,alb,1974,69.75,4975.52,2585452
europe,alb,1975,70.19,5021.48,2650122
europe,alb,1976,70.66,5072.87,2713560
europe,alb,1977,71.13,5122.24,2774795
europe,alb,1978,71.7,5186.68,2833314
europe,alb,1979,71.35,5248.68,2888763
europe,alb,1980,71.25,5295.68,2941651
europe,alb,1981,71.32,5418.15,2992389
europe,alb,1982,71.41,5455.84,3041179
europe,alb,1983,71.23,5435.09,3087911
europe,alb,1984,71.41,5442.14,3131726
europe,alb,1985,71.89,5328.32,3171725
europe,alb,1986,72.27,5460.94,3207128
europe,alb,1987,72.21,5368.85,3237676
europe,alb,1988,72.38,5256.03,3263019
europe,alb,1989,72.47,5511.56,3282182
europe,alb,1990,72.76,5057.24,3295066
europe,alb,1991,72.64,3674.08,3302081
europe,alb,1992,73.23,3451.71,3303739
europe,alb,1993,73.83,3794.41,3300711
europe,alb,1994,74.59,4116.74,3293999
europe,alb,1995,74.61,4624.39,3284364
europe,alb,1996,74.55,5050.22,3271331
europe,alb,1997,72.91,4511.21,3253719
europe,alb,1998,74.83,4933.42,3232175
europe,alb,1999,75.07,5600.11,3208260
europe,alb,2000,75.39,6021.89,3182021
europe,alb,2001,76.02,6573.24,3153612
europe,alb,2002,75.93,6885.99,3123551
europe,alb,2003,75.62,7284.02,3092991
europe,alb,2004,75.77,7704.01,3062622
europe,alb,2005,76.2,8153.61,3032634
europe,alb,2006,76.9,8667.78,3003387
europe,alb,2007,77.5,9230.49,2976084
europe,alb,2008,77.57,9970.14,2951689
europe,alb,2009,77.97,10343.89,2930541
europe,alb,2010,78.13,10749.47,2913399
europe,alb,2011,78.13,11052.78,2900654
europe,alb,2012,78.22,11227.95,2892193
europe,alb,2013,78.28,11361.25,2887014
europe,alb,2014,78.21,11586.82,2884102
europe,alb,2015,78.14,11878.44,2882481
europe,alb,2016,78.23,12291.84,2881063
europe,alb,2017,78.33,12770.99,2879355
europe,alb,2018,78.44,13317.12,2877013
europe,alb,2019,78.5,13653.18,2873883
europe,alb,2020,77.9,13278.37,2866849
europe,alb,2021,78.73,14595.94,2854710
europe,alb,2022,78.84,15501.66,2842321
europe,alb,2023,78.96,16105.51,2832439
africa,dza,1800,28.82,950.6,2500000
africa,dza,1801,28.82,951.92,2509126
africa,dza,1802,28.82,953.25,2518286
africa,dza,1803,28.82,954.58,2527479
africa,dza,1804,28.82,955.91,2536706
africa,dza,1805,28.82,957.24,2545967
africa,dza,1806,28.82,958.57,2555261
africa,dza,1807,28.82,959.9,2564589
africa,dza,1808,28.82,961.23,2573951
africa,dza,1809,28.82,962.56,2583348
africa,dza,1810,28.82,963.89,2592813
africa,dza,1811,28.82,965.22,2602278
africa,dza,1812,28.82,966.55,2611778
africa,dza,1813,28.82,967.88,2621312
africa,dza,1814,28.82,969.21,2630882
africa,dza,1815,28.82,970.54,2640486
africa,dza,1816,28.82,971.87,2650125
africa,dza,1817,28.82,973.2,2659800
africa,dza,1818,28.82,974.53,2669510
africa,dza,1819,28.82,975.86,2678262
africa,dza,1820,28.82,977.19,2686052
africa,dza,1821,28.82,987.19,2692874
africa,dza,1822,28.82,997.3,2698723
africa,dza,1823,28.82,1007.51,2703593
africa,dza,1824,28.82,1017.83,2708472
africa,dza,1825,28.82,1028.25,2713360
africa,dza,1826,28.82,1038.78,2718256
africa,dza,1827,28.82,1049.41,2723162
africa,dza,1828,28.82,1060.16,2728076
africa,dza,1829,28.82,1071.01,2732999
africa,dza,1830,28.82,1081.98,2737931
africa,dza,1831,28.82,1093.06,2742872
africa,dza,1832,28.82,1104.25,2747822
africa,dza,1833,28.82,1115.56,2752781
africa,dza,1834,28.82,1126.98,2757748
africa,dza,1835,28.82,1138.52,2762725
africa,dza,1836,28.82,1150.18,2767711
africa,dza,1837,28.82,1161.96,2772705
africa,dza,1838,28.82,1173.85,2777709
africa,dza,1839,28.82,1185.87,2782722
africa,dza,1840,28.82,1198.02,2787744
africa,dza,1841,28.82,1210.28,2792774
africa,dza,1842,28.82,1222.68,2797814
africa,dza,1843,28.82,1235.19,2802863
africa,dza,1844,28.82,1247.84,2807921
africa,dza,1845,28.82,1260.62,2812989
africa,dza,1846,28.82,1273.53,2818065
africa,dza,1847,28.82,1286.57,2823150
africa,dza,1848,28.82,1299.74,2828245
africa,dza,1849,20,1313.05,2838059
africa,dza,1850,15,1326.49,2852648
africa,dza,1851,22,1340.08,2872405
africa,dza,1852,28.82,1353.8,2897058
africa,dza,1853,28.82,1367.66,2926664
africa,dza,1854,28.82,1381.66,2956573
africa,dza,1855,28.82,1395.81,2986788
africa,dza,1856,28.82,1410.1,3017311
africa,dza,1857,28.82,1424.54,3048147
africa,dza,1858,28.82,1439.13,3079297
africa,dza,1859,28.82,1453.87,3110766
africa,dza,1860,28.82,1468.75,3142556
africa,dza,1861,28.82,1483.79,3174671
africa,dza,1862,28.82,1498.98,3207115
africa,dza,1863,28.82,1514.33,3239889
africa,dza,1864,28.82,1529.84,3272999
africa,dza,1865,28.82,1545.5,3306447
africa,dza,1866,28.82,1561.33,3340237
africa,dza,1867,21,1577.31,3374372
africa,dza,1868,11,1593.47,3408856
africa,dza,1869,15,1609.78,3443692
africa,dza,1870,22,1626.26,3478884
africa,dza,1871,28.93,1644.76,3514436
africa,dza,1872,29.05,1663.47,3550350
africa,dza,1873,29.16,1682.39,3586632
africa,dza,1874,29.27,1701.52,3623285
africa,dza,1875,29.38,1720.88,3660312
africa,dza,1876,29.49,1740.45,3697718
africa,dza,1877,29.6,1760.25,3735505
africa,dza,1878,29.71,1780.27,3773679
africa,dza,1879,29.83,1800.52,3812243
africa,dza,1880,29.94,1820.99,3851201
africa,dza,1881,30.05,1841.71,3890557
africa,dza,1882,30.16,1862.65,3930315
africa,dza,1883,30.27,1883.84,3970479
africa,dza,1884,30.38,1905.27,4011054
africa,dza,1885,30.5,1926.94,4052043
africa,dza,1886,30.61,1948.85,4093452
africa,dza,1887,30.72,1971.02,4135283
africa,dza,1888,30.83,1993.44,4177542
africa,dza,1889,30.94,2016.11,4219933
africa,dza,1890,31.05,2039.04,4262454
africa,dza,1891,31.16,2062.23,4305104
africa,dza,1892,31.28,2085.69,4347882
africa,dza,1893,31.39,2109.41,4390784
africa,dza,1894,31.5,2133.4,4434110
africa,dza,1895,31.61,2157.67,4477863
africa,dza,1896,31.72,2182.21,4522048
africa,dza,1897,31.83,2207.03,4566669
africa,dza,1898,31.94,2232.13,4611731
africa,dza,1899,32.06,2257.52,4663386
africa,dza,1900,32.21,2283.2,4721802
africa,dza,1901,32.37,2309.17,4787149
africa,dza,1902,32.53,2335.43,4859600
africa,dza,1903,33.67,2361.99,4939332
africa,dza,1904,27.29,2388.86,5020372
africa,dza,1905,30.31,2416.03,5102742
africa,dza,1906,31.93,2443.51,5186463
africa,dza,1907,31.93,2471.3,5271557
africa,dza,1908,31.93,2499.41,5358048
africa,dza,1909,33.67,2527.84,5433528
africa,dza,1910,35.55,2556.59,5497750
africa,dza,1911,35.35,2585.67,5550464
africa,dza,1912,36.96,2615.08,5591415
africa,dza,1913,34.6,2644.82,5620343
africa,dza,1914,34.12,2656.29,5649420
africa,dza,1915,33.65,2667.81,5678648
africa,dza,1916,33.32,2679.39,5708027
africa,dza,1917,33.43,2691.01,5737558
africa,dza,1918,26.15,2702.68,5766569
africa,dza,1919,33.65,2714.4,5802743
africa,dza,1920,32.82,2726.18,5846192
africa,dza,1921,32.93,2738,5897033
africa,dza,1922,32.69,2749.88,5955381
africa,dza,1923,35.7,2761.81,6021355
africa,dza,1924,37.44,2773.79,6088060
africa,dza,1925,38.37,2785.82,6155505
africa,dza,1926,37.68,2797.9,6223696
africa,dza,1927,32.33,2810.04,6292643
africa,dza,1928,36.48,2822.23,6362353
africa,dza,1929,36.8,2834.47,6441431
africa,dza,1930,38.36,2846.76,6530132
africa,dza,1931,36.06,2859.11,6628718
africa,dza,1932,37.69,2871.51,6737455
africa,dza,1933,39.2,2883.97,6856617
africa,dza,1934,38.59,2896.48,6977885
africa,dza,1935,40.79,2909.04,7101299
africa,dza,1936,42.3,2921.66,7226895
africa,dza,1937,40.19,2934.33,7354713
africa,dza,1938,39.53,2947.06,7484792
africa,dza,1939,42.27,2959.84,7613042
africa,dza,1940,42.85,2972.68,7739370
africa,dza,1941,40.91,3000.19,7863680
africa,dza,1942,40.22,3027.94,7985870
africa,dza,1943,34.86,3055.96,8105839
africa,dza,1944,41.28,3084.24,8227611
africa,dza,1945,38.7,3112.77,8351211
africa,dza,1946,41.41,3141.57,8476669
africa,dza,1947,45.43,3170.64,8604011
africa,dza,1948,49.21,3199.98,8733267
africa,dza,1949,52.15,3229.59,8871792
africa,dza,1950,55.12,3259.47,9019866
africa,dza,1951,55.6,3231.77,9271734
africa,dza,1952,56.05,3317.16,9521702
africa,dza,1953,56.38,3316.68,9771686
africa,dza,1954,52.44,3499.4,10011541
africa,dza,1955,53.07,3534.95,10242288
africa,dza,1956,53.45,3817.54,10473168
africa,dza,1957,53.01,4183.43,10703251
africa,dza,1958,52.8,4267.76,10933784
africa,dza,1959,52.6,4974.2,11164443
africa,dza,1960,52.38,5234.47,11394307
africa,dza,1961,51.51,4689.21,11598608
africa,dza,1962,51.53,3494.63,11778260
africa,dza,1963,55.8,4320.68,11969451
africa,dza,1964,56.7,4502.07,12179099
africa,dza,1965,56.8,4722.5,12381256
africa,dza,1966,56.21,4348.16,12613389
africa,dza,1967,56.13,4653.95,12897115
africa,dza,1968,56.07,5051.77,13190975
africa,dza,1969,56.14,5377.41,13491016
africa,dza,1970,56.23,5766.02,13795915
africa,dza,1971,56.18,5124.22,14110271
africa,dza,1972,56.31,6078.08,14439748
africa,dza,1973,56.45,6155.29,14786469
africa,dza,1974,56.68,6304.85,15153602
africa,dza,1975,56.87,6544.02,15724692
africa,dza,1976,57.09,6786.16,16500516
africa,dza,1977,57.75,7225.29,17134192
africa,dza,1978,58.2,7840.67,17632645
africa,dza,1979,58.77,8257.79,18166981
africa,dza,1980,58.73,8135.37,18739378
africa,dza,1981,59.87,8133.97,19351357
africa,dza,1982,60.84,8412.43,20000096
africa,dza,1983,62.26,8608.11,20682111
africa,dza,1984,63.27,8834.08,21393530
africa,dza,1985,64.7,8967.95,22132905
africa,dza,1986,65.5,8711.84,22882553
africa,dza,1987,66.03,8454.64,23586101
africa,dza,1988,66.57,8081.19,24243018
africa,dza,1989,67.07,8254.69,24889507
africa,dza,1990,67.48,8159.76,25518074
africa,dza,1991,67.93,7985.55,26133905
africa,dza,1992,68.28,8041.84,26748303
africa,dza,1993,68.59,7790.03,27354327
africa,dza,1994,68.73,7643.61,27937006
africa,dza,1995,69.04,7862.92,28478022
africa,dza,1996,69.61,8110.33,28984634
africa,dza,1997,69.66,8128.4,29476031
africa,dza,1998,70.19,8472.99,29924668
africa,dza,1999,70.71,8672.2,30346083
africa,dza,2000,70.96,8917.79,30774621
africa,dza,2001,71.35,9091.61,31200985
africa,dza,2002,71.76,9494.38,31624696
africa,dza,2003,72,10053.85,32055883
africa,dza,2004,72.57,10341.38,32510186
